Comment,Polarity,Sentiment
can confirm: he never gave us up,0.0,Neutral
"Ok so I was at a YouTube short and then they said scan the QR code and then I saw it. Send me to like a link of the video, but it did not.",0.25,Positive
Olá❤,0.0,Neutral
I put a QR code that says &quot;free Wi-Fi&quot; with a link to this video,0.0,Neutral
i jst got rickrolled by my fyp,0.0,Neutral
noooo i thought it was tadc movie leaks 😔,0.0,Neutral
OOOkay. Gemini just rickrolled me. I wanted a youtube video for my project and Gemini literally gave me a link to this WTF.,-0.5,Negative
i rickrolled myself,0.0,Neutral
"&quot;<a href=""https://www.youtube.com/watch?v=dQw4w9WgXcQ"">https://youtu.be/dQw4w9WgXcQ?si=OEH_YF3bXJKsw5dT</a>&quot;",0.0,Neutral
And i got rickrolled again,0.0,Neutral
I GOT TROLLED BY AN UNOFFICIAL ACCOUNT,0.0,Neutral
Кто с вайт Макса?,0.0,Neutral
Yo this meme will never ever get old,0.1,Positive
Кто с Вайт Макса,0.0,Neutral
add saved me from rickroll,0.0,Neutral
I didnt know that the British could dance and sing with their accent 😞,0.0,Neutral
i forgot about this link,0.0,Neutral
Bro i found a qr code in my buss,0.0,Neutral
This isn&#39;t her only fans 😢,0.0,Neutral
I asked Gemini to play a video on class 12 isc Organic Chemistry and it played me this video,0.0,Neutral
we know why were here cause you scan a random QR code,-0.5,Negative
Who came from the qr code tank,0.0,Neutral
Got rickrolled from a Minecraft map of a city and a qr code was ontop of a building ✌️😭,0.0,Neutral
この人は､どう見ても、西川きよしさんの息子さんやろ！,0.0,Neutral
Pls pin,0.0,Neutral
"Estoy contenta y los quiero mucho la parte espiritual que está solucionando mi problema, a Leiving Thais Chirinos Bravo.",0.0,Neutral
Gemini gave me a link to this video,0.0,Neutral
i just wanted to look at corn :(,-0.75,Negative
Cbse class 12th Maths paper Rickrolled me😂Indian education system became this much casual?!! Unbelievable 😂,-0.515625,Negative
I’ve been Rickrolled more than twice this mont,0.5,Positive
I got here bc I scanned a qr code..,0.0,Neutral
we still get rickrolled becase is the best,1.0,Positive
Just got rickrolled by a fcking dwarf game i can‘t😭😭,-0.4,Negative
I intentionally get RIck Rolled now,0.0,Neutral
the best music,1.0,Positive
I’m playing this Pixel Flow game and there was a level with a QR code. It took me here…,-0.4,Negative
DID GEMINI RICKROLL ME,0.0,Neutral
Y ese hospital no tiene nada Catlolico sino culto palero,0.0,Neutral
El psiquiatra Carlos Ferro internó a Leiving Thais Chirinos Bravo al hospital Central y salió peor porque estaba inventando con medicina y casi muero  y mi hermana mayor le siguió el juego y todavía tengo problema con esos medicamentos porque paso días sin evacuar,0.0,Neutral
I just got rickrolled by discord ....,0.0,Neutral
still a banger,0.0,Neutral
Los espiritistas son los únicos que me pueden ayudar y eso son para mí ustedes y gracias por existir,0.0,Neutral
"Y todavía me habían en la cabeza de Leiving Thais Chirinos Bravo no dejando ni pensar y me inflaman mi cabeza y mi cuerpo también, lo que quieren es matar, ayúdenme por favor",0.0,Neutral
I KNEW IT BEFORE OPENING IT LOL,0.8,Positive
"Damn it, I knew it. 😂😂😂",0.0,Neutral
I rickrolled myself using Nfc tag,0.0,Neutral
… 😊😂,0.0,Neutral
I CAME FROM PINTEREST,0.0,Neutral
You tricked me again,0.0,Neutral
"Jajaja, @JuegaGerman estaba esperando una página de miedo",0.0,Neutral
"Esa maestra y compañía me mandó una alergia en la cara que no hayo como pintarme mi cabello y ácaros en mi cuarto al colchón, ayúdenme por favor",0.0,Neutral
